Target,Model,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,Source,,,,,,,,,,,,,,
fen1,GlideSP,0.584,0.038,0,2.17,2.17,4.13,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,IGN(DUD-E),0.668,0.088,21.683,13.03,8.69,4.13,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,IGN(target-specific),0.882,0.295,119.255,41.29,30.424,10.651,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,RF-score-vs(target-specific),0.713,0.154,65.048,26.078,14.126,5.217,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,GlideSP,0.493,0.003,0,0,0,0.83,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,IGN(DUD-E),0.61,0.076,41.196,12.47,6.24,2.91,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,IGN(target-specific),0.504,0.03,0,4.157,4.162,1.666,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,RF-score-vs(target-specific),0.511,0.013,0,0,2.081,1.25,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,GlideSP,0.519,0.009,0,0,0,0.97,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,IGN(DUD-E),0.528,0.028,0,1.661,0.832,1.833,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,IGN(target-specific),0.701,0.044,0,3.322,2.496,3.499,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,RF-score-vs(target-specific),0.61,0.026,8.304,1.661,1.664,1.833,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,EHIGN,,,154.57,75.41,52.18,14.22,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
kat2a,EHIGN,,,41.47,16.67,16.67,4.58,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
pkm2,EHIGN,,,21.78,7.33,8.08,4.56,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
aldh1,EHIGN,,,14.99,12.14,9.9,5.49,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
gba,EHIGN,,,96.87,38.96,26.82,7.8,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
mapk1,EHIGN,,,37.96,12.98,9.08,3.37,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
vdr,EHIGN,,,38.7,20.77,18.82,7.01,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
adrb2,GenScore(ft_0.5),0.559 ,0.229 ,,47.04 ,23.53 ,4.71 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
aldh1,GenScore(ft_0.5),0.571 ,0.085 ,,1.73 ,1.67 ,1.56 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
esr_ago,GenScore(ft_0.5),0.634 ,0.152 ,,30.75 ,15.37 ,3.07 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
esr_antago,GenScore(ft_0.5),0.610 ,0.065 ,,3.81 ,2.91 ,1.76 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
fen1,GenScore(ft_0.5),0.587 ,0.067 ,,7.05 ,4.06 ,3.79 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
gba,GenScore(ft_0.5),0.631 ,0.022 ,,2.41 ,1.20 ,2.17 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
idh1,GenScore(ft_0.5),0.688 ,0.080 ,,10.25 ,7.69 ,4.10 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
kat2a,GenScore(ft_0.5),0.351 ,0.011 ,,2.06 ,1.03 ,0.41 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
mapk1,GenScore(ft_0.5),0.641 ,0.061 ,,6.49 ,4.87 ,2.60 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
mtorc1,GenScore(ft_0.5),0.499 ,0.002 ,,0.00 ,0.00 ,0.41 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
oprk1,GenScore(ft_0.5),0.643 ,0.040 ,,8.33 ,4.17 ,1.67 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
pkm2,GenScore(ft_0.5),0.604 ,0.036 ,,4.03 ,3.30 ,2.05 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
pparg,GenScore(ft_0.5),0.839 ,0.295 ,,43.11 ,25.62 ,8.89 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
tp53,GenScore(ft_0.5),0.597 ,0.030 ,,0.00 ,0.00 ,1.26 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
vdr,GenScore(ft_0.5),0.454 ,0.016 ,,1.81 ,1.47 ,1.02 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
adrb2,Surflex@Surflex,,,,,5.88,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
aldh1,Surflex@Surflex,,,,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_ago,Surflex@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_antago,Surflex@Surflex,,,,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
fen1,Surflex@Surflex,,,,,4.34,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
gba,Surflex@Surflex,,,,,8.43,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
idh1,Surflex@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
kat2a,Surflex@Surflex,,,,,2.58,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mapk1,Surflex@Surflex,,,,,1.62,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mtorc1,Surflex@Surflex,,,,,1.03,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
oprk1,Surflex@Surflex,,,,,4.17,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pkm2,Surflex@Surflex,,,,,0.18,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pparg,Surflex@Surflex,,,,,7.41,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
tp53,Surflex@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
vdr,Surflex@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
adrb2,Pafnucy@Surflex,,,,,11.76,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
aldh1,Pafnucy@Surflex,,,,,15.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_ago,Pafnucy@Surflex,,,,,7.69,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_antago,Pafnucy@Surflex,,,,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
fen1,Pafnucy@Surflex,,,,,5.15,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
gba,Pafnucy@Surflex,,,,,9.64,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
idh1,Pafnucy@Surflex,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
kat2a,Pafnucy@Surflex,,,,,3.09,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mapk1,Pafnucy@Surflex,,,,,1.3,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mtorc1,Pafnucy@Surflex,,,,,1.03,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
oprk1,Pafnucy@Surflex,,,,,8.33,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pkm2,Pafnucy@Surflex,,,,,0.37,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pparg,Pafnucy@Surflex,,,,,11.11,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
tp53,Pafnucy@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
vdr,Pafnucy@Surflex,,,,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
adrb2,dvinaRF20@Surflex,,,,,11.76,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
aldh1,dvinaRF20@Surflex,,,,,15.74,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_ago,dvinaRF20@Surflex,,,,,7.69,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_antago,dvinaRF20@Surflex,,,,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
fen1,dvinaRF20@Surflex,,,,,5.15,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
gba,dvinaRF20@Surflex,,,,,9.64,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
idh1,dvinaRF20@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
kat2a,dvinaRF20@Surflex,,,,,3.61,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mapk1,dvinaRF20@Surflex,,,,,1.3,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mtorc1,dvinaRF20@Surflex,,,,,2.06,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
oprk1,dvinaRF20@Surflex,,,,,8.33,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pkm2,dvinaRF20@Surflex,,,,,2.38,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pparg,dvinaRF20@Surflex,,,,,11.11,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
tp53,dvinaRF20@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
vdr,dvinaRF20@Surflex,,,,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
adrb2,IFP@Surflex,,,,,23.53,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
aldh1,IFP@Surflex,,,,,15.35,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_ago,IFP@Surflex,,,,,7.69,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_antago,IFP@Surflex,,,,,5.88,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
fen1,IFP@Surflex,,,,,6.78,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
gba,IFP@Surflex,,,,,9.64,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
idh1,IFP@Surflex,,,,,1.61,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
kat2a,IFP@Surflex,,,,,3.61,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mapk1,IFP@Surflex,,,,,1.62,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mtorc1,IFP@Surflex,,,,,3.61,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
oprk1,IFP@Surflex,,,,,12.5,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pkm2,IFP@Surflex,,,,,7.14,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pparg,IFP@Surflex,,,,,11.11,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
tp53,IFP@Surflex,,,,,0.66,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
vdr,IFP@Surflex,,,,,1.24,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
adrb2,GRIM@Surflex,,,,,17.65,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
aldh1,GRIM@Surflex,,,,,15.76,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_ago,GRIM@Surflex,,,,,7.69,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
esr_antago,GRIM@Surflex,,,,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
fen1,GRIM@Surflex,,,,,7.32,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
gba,GRIM@Surflex,,,,,10.84,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
idh1,GRIM@Surflex,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
kat2a,GRIM@Surflex,,,,,3.61,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mapk1,GRIM@Surflex,,,,,3.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
mtorc1,GRIM@Surflex,,,,,2.06,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
oprk1,GRIM@Surflex,,,,,12.5,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pkm2,GRIM@Surflex,,,,,5.86,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
pparg,GRIM@Surflex,,,,,11.11,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
tp53,GRIM@Surflex,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
vdr,GRIM@Surflex,,,,,1.24,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00292,,,,,,,,,,,,,,
aldh1,TB-IECS,0.61,,,,8.96,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
esr_antago,TB-IECS,0.697,,,,2.8,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
fen1,TB-IECS,0.812,,,,1.143,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
gba,TB-IECS,0.689,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
kat2a,TB-IECS,0.523,,,,1.299,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
mapk1,TB-IECS,0.697,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
mtorc1,TB-IECS,0.511,,,,0,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
pkm2,TB-IECS,0.632,,,,1.198,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
tp53,TB-IECS,0.654,,,,7.279,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
vdr,TB-IECS,0.609,,,,0.543,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00731-x,,,,,,,,,,,,,,
fen1,KIDA,,,,12.319,11.957,4.348,KIDA,,,,,,,,,,,,,,
kat2a,KIDA,,,,9.722,6.25,3.611,KIDA,,,,,,,,,,,,,,
pkm2,KIDA,,,,2.451,2.451,2.794,KIDA,,,,,,,,,,,,,,
adrb2,DENVIS D-G,0.6,0.19,,,25,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
aldh1,DENVIS D-G,0.54,0.07,,,1.38,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
esr_ago,DENVIS D-G,0.66,0.1,,,8.33,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
esr_antago,DENVIS D-G,0.52,0.04,,,0.99,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
fen1,DENVIS D-G,0.58,0.04,,,3.26,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
gba,DENVIS D-G,0.46,0.03,,,3.03,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
idh1,DENVIS D-G,0.46,0.01,,,0,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
kat2a,DENVIS D-G,0.39,0.01,,,0.52,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
mapk1,DENVIS D-G,0.61,0.05,,,3.58,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
mtorc1,DENVIS D-G,0.57,0.01,,,1.04,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
oprk1,DENVIS D-G,0.82,0.01,,,0,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
pkm2,DENVIS D-G,0.49,0.01,,,0.55,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
pparg,DENVIS D-G,0.76,0.15,,,11.54,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
tp53,DENVIS D-G,0.52,0.04,,,1.28,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
vdr,DENVIS D-G,0.57,0.05,,,4.42,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
adrb2,GNINA,0.52,0.01,,,0,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
aldh1,GNINA,0.6,0.09,,,1.88,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
esr_ago,GNINA,0.71,0.12,,,15.38,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
esr_antago,GNINA,0.72,0.12,,,5.88,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
fen1,GNINA,0.55,0.02,,,1.9,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
gba,GNINA,0.71,0.1,,,9.04,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
idh1,GNINA,0.69,0.12,,,12.82,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
kat2a,GNINA,0.41,0.02,,,1.55,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
mapk1,GNINA,0.62,0.02,,,1.62,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
mtorc1,GNINA,0.49,0.01,,,1.03,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
oprk1,GNINA,0.8,0.07,,,8.33,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
pkm2,GNINA,0.61,0.01,,,0.55,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
pparg,GNINA,0.76,0.06,,,7.41,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
tp53,GNINA,0.56,0.03,,,1.27,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
vdr,GNINA,0.39,0.01,,,0.79,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
adrb2,DDTA,0.37,0,,,0,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
aldh1,DDTA,0.58,0.08,,,1.42,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
esr_ago,DDTA,0.66,0.02,,,0,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
esr_antago,DDTA,0.63,0.04,,,0,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
fen1,DDTA,0.49,0.01,,,0.27,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
