Target,Model,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,Source,,,,,,,,,,,,,,
gba,DDTA,0.55,0.03,,,4.22,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
idh1,DDTA,0.7,0.06,,,5.13,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
kat2a,DDTA,0.48,0.02,,,1.03,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
mapk1,DDTA,0.58,0.02,,,0.65,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
mtorc1,DDTA,0.47,0.01,,,1.03,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
oprk1,DDTA,0.69,0.03,,,4.17,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
pkm2,DDTA,0.57,0.01,,,0.55,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
pparg,DDTA,0.68,0,,,0,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
tp53,DDTA,0.57,0.04,,,2.53,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
vdr,DDTA,0.42,0.01,,,1.02,,https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01057,,,,,,,,,,,,,,
adrb2,GlideSP@PLANET,0.57,,,,5.55,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
aldh1,GlideSP@PLANET,0.78,,,,10.33,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
esr_ago,GlideSP@PLANET,0.51,,,,7.1,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
esr_antago,GlideSP@PLANET,0.45,,,,0.41,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
fen1,GlideSP@PLANET,0.4,,,,0.6,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
gba,GlideSP@PLANET,0.58,,,,4.2,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
idh1,GlideSP@PLANET,0.21,,,,0.14,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
kat2a,GlideSP@PLANET,0.49,,,,1.5,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
mapk1,GlideSP@PLANET,0.55,,,,1.29,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
mtorc1,GlideSP@PLANET,0.49,,,,0.842,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
oprk1,GlideSP@PLANET,0.52,,,,4.166,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
pkm2,GlideSP@PLANET,0.66,,,,4.02,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
pparg,GlideSP@PLANET,0.67,,,,3.879,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
tp53,GlideSP@PLANET,0.64,,,,2.369,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
vdr,GlideSP@PLANET,0.46,,,,0.43,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
adrb2,dvinaRF20@dlinf9,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00485,,,,,,,,,,,,,,
aldh1,dvinaRF20@dlinf9,,,,,1.66,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00486,,,,,,,,,,,,,,
esr_ago,dvinaRF20@dlinf9,,,,,15.38,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00487,,,,,,,,,,,,,,
esr_antago,dvinaRF20@dlinf9,,,,,2.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00488,,,,,,,,,,,,,,
fen1,dvinaRF20@dlinf9,,,,,0.81,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00489,,,,,,,,,,,,,,
gba,dvinaRF20@dlinf9,,,,,6.63,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00490,,,,,,,,,,,,,,
idh1,dvinaRF20@dlinf9,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00491,,,,,,,,,,,,,,
kat2a,dvinaRF20@dlinf9,,,,,0.52,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00492,,,,,,,,,,,,,,
mapk1,dvinaRF20@dlinf9,,,,,1.95,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00493,,,,,,,,,,,,,,
mtorc1,dvinaRF20@dlinf9,,,,,3.09,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00494,,,,,,,,,,,,,,
oprk1,dvinaRF20@dlinf9,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00495,,,,,,,,,,,,,,
pkm2,dvinaRF20@dlinf9,,,,,2.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00496,,,,,,,,,,,,,,
pparg,dvinaRF20@dlinf9,,,,,11.11,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00497,,,,,,,,,,,,,,
tp53,dvinaRF20@dlinf9,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00498,,,,,,,,,,,,,,
vdr,dvinaRF20@dlinf9,,,,,0.68,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00499,,,,,,,,,,,,,,
adrb2,Lin_F9@dlinf9,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00500,,,,,,,,,,,,,,
aldh1,Lin_F9@dlinf9,,,,,1.58,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00501,,,,,,,,,,,,,,
esr_ago,Lin_F9@dlinf9,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00502,,,,,,,,,,,,,,
esr_antago,Lin_F9@dlinf9,,,,,2.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00503,,,,,,,,,,,,,,
fen1,Lin_F9@dlinf9,,,,,1.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00504,,,,,,,,,,,,,,
gba,Lin_F9@dlinf9,,,,,7.23,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00505,,,,,,,,,,,,,,
idh1,Lin_F9@dlinf9,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00506,,,,,,,,,,,,,,
kat2a,Lin_F9@dlinf9,,,,,2.06,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00507,,,,,,,,,,,,,,
mapk1,Lin_F9@dlinf9,,,,,1.62,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00508,,,,,,,,,,,,,,
mtorc1,Lin_F9@dlinf9,,,,,2.06,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00509,,,,,,,,,,,,,,
oprk1,Lin_F9@dlinf9,,,,,4.17,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00510,,,,,,,,,,,,,,
pkm2,Lin_F9@dlinf9,,,,,0.73,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00511,,,,,,,,,,,,,,
pparg,Lin_F9@dlinf9,,,,,7.41,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00512,,,,,,,,,,,,,,
tp53,Lin_F9@dlinf9,,,,,1.27,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00513,,,,,,,,,,,,,,
vdr,Lin_F9@dlinf9,,,,,0.34,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00514,,,,,,,,,,,,,,
adrb2,dLin_F9XGB@dlinf9,,,,,11.76,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00515,,,,,,,,,,,,,,
aldh1,dLin_F9XGB@dlinf9,,,,,6.46,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00516,,,,,,,,,,,,,,
esr_ago,dLin_F9XGB@dlinf9,,,,,7.69,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00517,,,,,,,,,,,,,,
esr_antago,dLin_F9XGB@dlinf9,,,,,3.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00518,,,,,,,,,,,,,,
fen1,dLin_F9XGB@dlinf9,,,,,2.17,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00519,,,,,,,,,,,,,,
gba,dLin_F9XGB@dlinf9,,,,,9.64,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00520,,,,,,,,,,,,,,
idh1,dLin_F9XGB@dlinf9,,,,,5.13,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00521,,,,,,,,,,,,,,
kat2a,dLin_F9XGB@dlinf9,,,,,7.73,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00522,,,,,,,,,,,,,,
mapk1,dLin_F9XGB@dlinf9,,,,,2.6,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00523,,,,,,,,,,,,,,
mtorc1,dLin_F9XGB@dlinf9,,,,,2.06,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00524,,,,,,,,,,,,,,
oprk1,dLin_F9XGB@dlinf9,,,,,12.5,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00525,,,,,,,,,,,,,,
pkm2,dLin_F9XGB@dlinf9,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00526,,,,,,,,,,,,,,
pparg,dLin_F9XGB@dlinf9,,,,,7.41,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00527,,,,,,,,,,,,,,
tp53,dLin_F9XGB@dlinf9,,,,,1.27,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00528,,,,,,,,,,,,,,
vdr,dLin_F9XGB@dlinf9,,,,,0.34,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00529,,,,,,,,,,,,,,
adrb2,PLANET,0.39,,,11.76,5.88,2.35,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
aldh1,PLANET,0.54,,,1.36,1.38,1.4,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
esr_ago,PLANET,0.66,,,15.37,7.68,4.61,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
esr_antago,PLANET,0.6,,,3.8,3.88,2.34,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
fen1,PLANET,0.6,,,7.04,5.14,2.65,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
gba,PLANET,0.68,,,2.4,3.01,2.4,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
idh1,PLANET,0.5,,,0,2.56,2.05,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
kat2a,PLANET,0.49,,,4.14,3.1,1.34,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
mapk1,PLANET,0.61,,,0.64,1.29,1.36,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
mtorc1,PLANET,0.46,,,2.05,2.05,1.23,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
oprk1,PLANET,0.45,,,0,4.16,0.83,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
pkm2,PLANET,0.56,,,1.83,1.83,1.35,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
pparg,PLANET,0.7,,,0,3.66,3.7,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
tp53,PLANET,0.58,,,2.44,2.5,1.51,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
vdr,PLANET,0.44,,,1.58,1.02,0.93,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,,,,,,,,,,,,,,
adrb2,ConBAP,0.385,,,10.523,5.262,1.053,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
aldh1,ConBAP,0.72,,,8.176,6.822,4.288,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
esr_ago,ConBAP,0.544,,,19.446,9.914,1.998,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
esr_antago,ConBAP,0.628,,,3.116,3.116,2.591,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
fen1,ConBAP,0.385,,,0.196,0.349,0.389,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
gba,ConBAP,0.632,,,6.279,4.187,1.885,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
idh1,ConBAP,0.474,,,1.966,1.404,1.011,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
kat2a,ConBAP,0.453,,,1.015,0.508,0.609,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
mapk1,ConBAP,0.617,,,0.59,0.792,1.438,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
mtorc1,ConBAP,0.476,,,0.526,0.421,0.716,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
oprk1,ConBAP,0.568,,,0,0,2.399,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
pkm2,ConBAP,0.613,,,1.175,1.175,1.541,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
pparg,ConBAP,0.753,,,2.953,2.771,3.29,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
tp53,ConBAP,0.637,,,2.36,1.18,1.18,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
vdr,ConBAP,0.419,,,0,0,0.392,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,,,,,,,,,,,,,,
adrb2,MILC-Dock,,,,,5.88,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
aldh1,MILC-Dock,,,,,0.97,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
gba,MILC-Dock,,,,,7.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
idh1,MILC-Dock,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
adrb2,Vina,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
aldh1,Vina,,,,,1.73,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
gba,Vina,,,,,4.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
idh1,Vina,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
adrb2,PLANTS,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
aldh1,PLANTS,,,,,1.66,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
gba,PLANTS,,,,,4.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
idh1,PLANTS,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
adrb2,LeDock,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
aldh1,LeDock,,,,,1.62,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
gba,LeDock,,,,,1.84,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
idh1,LeDock,,,,,5.13,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
adrb2,rDock,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
aldh1,rDock,,,,,1.7,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
gba,rDock,,,,,3.07,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
idh1,rDock,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
adrb2,AutoDock4,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
aldh1,AutoDock4,,,,,2.11,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
gba,AutoDock4,,,,,5.52,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
idh1,AutoDock4,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,,,,,,,,,,,,,,
All,DyScore-MF,,0.071,,,5.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,,,,,,,,,,,,,,
All,DyScore,,0.043,,,3.3,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,,,,,,,,,,,,,,
All,RF-Score-v3,,0.031,,,2,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,,,,,,,,,,,,,,
All,NNScore 2.0,,0.025,,,1.7,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,,,,,,,,,,,,,,
All,DSX,,0.025,,,1,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,,,,,,,,,,,,,,
All,Xscore,,0.039,,,2.5,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,,,,,,,,,,,,,,
adrb2,FINDSITE,,,,,11.76,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
aldh1,FINDSITE,,,,,0.68,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
esr_ago,FINDSITE,,,,,7.69,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
esr_antago,FINDSITE,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
fen1,FINDSITE,,,,,1.36,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
gba,FINDSITE,,,,,1.81,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
idh1,FINDSITE,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
kat2a,FINDSITE,,,,,0.52,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
mapk1,FINDSITE,,,,,6.77,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
mtorc1,FINDSITE,,,,,2.62,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
oprk1,FINDSITE,,,,,8.33,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
pkm2,FINDSITE,,,,,0.77,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
pparg,FINDSITE,,,,,1.23,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
tp53,FINDSITE,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
vdr,FINDSITE,,,,,1.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
adrb2,FRAGSITE,,,,,9.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
aldh1,FRAGSITE,,,,,0.75,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
esr_ago,FRAGSITE,,,,,0.51,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
esr_antago,FRAGSITE,,,,,2.61,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
fen1,FRAGSITE,,,,,17.07,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
gba,FRAGSITE,,,,,2.71,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
idh1,FRAGSITE,,,,,3.11,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
kat2a,FRAGSITE,,,,,2.06,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
mapk1,FRAGSITE,,,,,9.81,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
mtorc1,FRAGSITE,,,,,3,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
oprk1,FRAGSITE,,,,,4.17,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
pkm2,FRAGSITE,,,,,1.69,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
pparg,FRAGSITE,,,,,5.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
tp53,FRAGSITE,,,,,6.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
vdr,FRAGSITE,,,,,1.7,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
adrb2,EViS,,,,,11.77,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
aldh1,EViS,,,,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
esr_ago,EViS,,,,,15.37,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
esr_antago,EViS,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
fen1,EViS,,,,,1.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
gba,EViS,,,,,3.01,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
idh1,EViS,,,,,2.56,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
kat2a,EViS,,,,,1.55,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
mapk1,EViS,,,,,2.6,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
mtorc1,EViS,,,,,2.06,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
oprk1,EViS,,,,,0,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
pkm2,EViS,,,,,4.03,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
pparg,EViS,,,,,14.64,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
tp53,EViS,,,,,1.25,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
vdr,EViS,,,,,1.02,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,,,,,,,,,,,,,,
